departmentname,count,departmentspecialty,is_icu
*Not Applicable,3153766,*Not Applicable,False
EMERGENCY DEPT PARN,1374013,Emergency Medicine,False
HOSP MEDICINE SVC,360857,Hospital Medicine,False
ECG ED ADULT PRO-BIL,192839,*Unspecified,False
14L MEDICINE,156193,Inpatient Nursing,False
10LS CVT,135355,Inpatient Nursing,False
CRITICAL CARE MEDICINE SVC,131813,Critical Care Medicine,True
14M MS-HI-ACUITY,123343,Inpatient Nursing,False
HOSP GOLDMAN MEDICAL SVC,115143,Hospital Medicine,False
15L ADULT ACUTE CARE,96603,Inpatient Nursing,False
9L TRANSPLANT,93188,Inpatient Nursing,False
8L NEUROSCIENCES,83923,Inpatient Nursing,False
ZZZCARDIOLOGY SVC,78155,Cardiology,False
13L GEN SURG,68251,Inpatient Nursing,False
NEPHROLOGY SVC,58254,Nephrology,False
RAD X-RAY PARN,53513,Radiology,False
ECG GLOBAL MC-BIL,44797,*Unspecified,False
NEUROLOGY SVC,40461,Neurology,False
HOSP MALIG HEME SVC,31741,Hospital Medicine,False
7L MUSCULOSKELETAL,28553,Inpatient Nursing,False
HOSP NIGHT HOSPITALIST SVC,27570,Hospital Medicine,False
ECHO ADULT PARN,27418,Cardiology,False
6L NEUR TRAN,25910,Inpatient Nursing,False
INFECTIOUS DISEASE SVC,25625,Infectious Diseases,False
GERIATRICS INPT SVC,24819,Geriatric Medicine,False
5E/W ACUTE MZ,24794,*Unspecified,False
HEPATOLOGY SVC,23565,Hepatology,False
RAD CT PARN,23159,Radiology CT,False
GASTROENTEROLOGY SVC,21147,Gastroenterology,False
PALLIATIVE CARE SVC,21005,Palliative Medicine,False
PULMONOLOGY SVC,19351,Pulmonology,False
NEUROVASCULAR SVC,19185,Neurology,False
8S TCU,18750,Inpatient Nursing,False
KTU DOM TRANSPLT SVC,18603,Kidney Transplantation,False
11L MEDSURG-ONC/BMT B,18112,Inpatient Nursing,False
GEN CARD SVC,17816,Cardiology,False
9NE M/S ICU,17763,Inpatient Nursing,True
MZ 4 EAST,17316,Inpatient Nursing,False
6L CVT,17251,Inpatient Nursing,False
12M MED/SURG/ACUTE TCU,15995,Inpatient Nursing,False
12L MEDSURG-ONC/BMT A,15658,Inpatient Nursing,False
SURG DOM ENDO PARN,14749,*Unspecified,False
7E MED/SURG,14102,Inpatient Nursing,False
12L MUSCULOSKELETAL,13815,*Unspecified,False
ADVANCED LUNG DISEASE SVC,13365,*Unspecified,False
6L ADULT ACUTE CARE,13348,*Unspecified,False
MALIGNANT HEMATOLOGY SVC,12740,Hematology and Oncology,False
13I M/S ICU,12244,Inpatient Nursing,True
GERIATRICS ED SVC,11991,Geriatric Medicine,False
PSYCHIATRY SVC -OSHPD BIL,11232,*Unspecified,False
HOSP MZ SVC,11081,Hospital Medicine,False
PSYCHIATRY ADULT  SVC - FPO BIL,10975,Psychiatry,False
CARDIOLOGY CONSULT SVC,10877,Cardiology,False
ID - TRANSPLANT SVC,10490,Infectious Diseases,False
ONCOLOGY SVC,10349,Oncology,False
8S NEUR TRAN,9845,*Unspecified,False
PATH SURGICAL PARN,9792,Pathology,False
ADVANCED HEART FAIL SVC,9374,Cardiology,False
ZZZHOSP MZ SVC,8863,Hospital Medicine,False
RHEUMATOLOGY SVC,8600,Rheumatology,False
6E/6N BRIDGE UNIT,8477,Inpatient Nursing,False
6S MED/SURG,8342,*Unspecified,False
NON-MALIGNANT HEM SVC,8324,Hematology,False
11L MEDSURG-ONC/BMT A,8266,*Unspecified,False
ELECTROPHYSIOLOGY SVC,7960,Cardiology,False
HOSP CARDIOLOGY SVC,7870,Hospital Medicine,False
MZ 5 NORTH,7774,Inpatient Nursing,False
VASCULAR SURGERY SVC,7489,Vascular Surgery,False
15M NEURO SPECIALTY,7288,Inpatient Nursing,False
PSYCHIATRY SVC,7074,Psychiatry,False
INTERVENTIONAL ENDOSCOPY SVC,6943,Gastroenterology,False
HOSP CO-MGMT SVC,6764,Hospital Medicine,False
CARDIAC CATH SVC,6709,Cardiology,False
RAD ULTRASOUND PARN,6591,Radiology,False
DERMATOLOGY SVC,6459,Dermatology,False
A5 ONC MB,6277,Inpatient Nursing,False
11NE NICU,5574,Inpatient Nursing,True
GENERAL SURGERY SVC,5568,General Surgery,False
PPU,5512,*Unspecified,False
EMU/EPILEPSY MONITORING SVC,5239,*Unspecified,False
ENDOCRINOLOGY SVC,5196,Endocrinology,False
JACOBS INFECTIOUS DISEASE SVC,5052,Infectious Diseases,False
A6 SURG MB,5008,Inpatient Nursing,False
10NE CARD ICU,4620,Inpatient Nursing,True
RAD MRI PARN,4533,Radiology MR,False
CARD CRIT CARE SVC,4486,Cardiology,False
SURG DOS GEN SURG-BIL,4478,*Unspecified,False
LAB SOM HEMATOLOGY PARN-BIL,4467,Lab,False
PATH SURGICAL MB,4250,Pathology,False
HOSPITALIST MEDICINE ED TRIAGE SVC,3978,Hospital Medicine,False
HOSP CONSULTATION SVC,3834,Hospital Medicine,False
PERIOP PARN,3758,*Unspecified,False
CRITICAL CARE MED-BIL,3213,Anesthesiology,True
ZZZ12S GCRC,3180,*Unspecified,False
PROCEDURALIST HOSP SVC,3145,Hospital Medicine,False
LIMITED STAY UNIT,3024,*Unspecified,False
8 NICU,2901,Inpatient Nursing,True
GLUCOSE MGMT SVC,2846,*Unspecified,False
PATH FNA MB 2,2751,Pathology,False
LIVER TRANSPLANT SVC,2704,Liver Transplant,False
HOSP MISSION BAY SVC,2615,Hospital Medicine,False
SURG NEURO SPINE-BIL,2548,*Unspecified,False
5 ADULT/SURG/ONC MZ,2434,*Unspecified,False
NEUROSURGERY SVC,2380,Neurosurgery,False
PAIN - CHRONIC SVC,2227,Anesthesiology,False
PATH CYTOLOGY MZ - BIL,2112,Pathology,False
L14 MEDSURG-ONC/BMT B,2105,*Unspecified,False
PK KTU DOM TRANSPLT SVC,2044,*Unspecified,False
OHNS SVC,2029,"Otolaryngology, Head and Neck Surgery",False
SURG DOS VASCULAR PARN-BIL,1970,*Unspecified,False
PAIN - ACUTE SVC,1965,Anesthesiology,False
PED CARD STRESS LAB MB,1950,Cardiology,False
6L PEDS/MS,1838,*Unspecified,False
SURG NEURO GENERAL-BIL,1828,*Unspecified,False
GYNECOLOGIC ONCOLOGY SVC,1820,Gynecologic Oncology,False
LAB SOM CHEMISTRY – BIL,1720,*Unspecified,False
ZZZID TRANSPLANT SVC,1693,Infectious Diseases,False
CARDIAC SURGERY SVC,1641,Cardiothoracic Surgery,False
HEMATOLOGY SVC,1634,Hematology,False
SURG URO ADULT PARN-BIL,1601,*Unspecified,False
SURG DOM OSTROFF PARN - BIL,1474,Gastroenterology,False
KIDNEY TRANSPLANT SVC,1448,Kidney Transplantation,False
SURG DOS CARDTHOR ADULT PARN-BIL,1409,*Unspecified,False
ECG GLOBAL MZ-BIL,1400,*Unspecified,False
ZZZHEPATOBILIARY MED SVC,1395,Gastroenterology,False
7L PED/ONC/R,1378,*Unspecified,False
PATH CYTOLOGY PARN,1331,Lab,False
A3 L&D MB,1316,Obstetrics and Gynecology,False
PK ADVANCED LUNG DISEASE SVC,1277,*Unspecified,False
SURG DOM HEPATOLOGY,1275,*Unspecified,False
INTERVENTIONAL RAD SVC,1223,Interventional Radiology,False
6ICC,1219,Inpatient Nursing,True
12S MEDSURG-ONC/BMT C,1215,*Unspecified,False
PK HEPATOLOGY SVC,1184,Hepatology,False
GYNECOLOGY SVC,1178,Gynecology,False
SURG DOS PLASTICS PARN-BIL,1145,*Unspecified,False
CARD STRESS LAB PARN,1127,Cardiology,False
MZ 4 WEST ICU,1048,Inpatient Nursing,True
RAD IR PARN,1036,Interventional Radiology,False
PK CRITICAL CARE MEDICINE SVC-BIL,1015,Critical Care Medicine,True
OBSTETRICS SVC,1003,Obstetrics and Gynecology,False
PULM FUNC PARN,993,Pulmonary Function and Bronchoscopy,False
LAB SOM IMMUNOLOGY – BIL,963,Lab,False
ALLERGY SVC,956,Allergy and Immunology,False
SURG ORTHO SPINE PARN-BIL,874,*Unspecified,False
OPHTHALMOLOGY SVC,842,Ophthalmology,False
UROLOGY SVC,833,Urology,False
A3 M&B MB,806,Obstetrics and Gynecology,False
PED ONC SVC,800,Pediatric Hematology and Oncology,False
PK MALIGNANT HEMATOLOGY SVC,753,*Unspecified,False
