icd_value,diagnosisname,count,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
I10,Essential (primary) hypertension,134093,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Essential (primary) hypertension
R94.31,Abnormal electrocardiogram (ECG) (EKG),111314,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal results of function studies
R07.9,"Chest pain, unspecified",90861,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Pain in throat and chest
Z20.822,Contact with and (suspected) exposure to covid-19,86002,ICD-10-CM,,,
R07.89,Other chest pain,83139,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Pain in throat and chest
R06.02,Shortness of breath,81384,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of breathing
R10.9,Unspecified abdominal pain,74819,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
N17.9,"Acute kidney failure, unspecified",68802,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Acute kidney failure and chronic kidney disease (N17-N19),Acute kidney failure
E78.5,"Hyperlipidemia, unspecified",57960,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Disorders of lipoprotein metabolism and other lipidemias
E11.9,Type 2 diabetes mellitus without complications (CMS code),52599,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
N39.0,"Urinary tract infection, site not specified",52532,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of urinary system
D64.9,"Anemia, unspecified",52173,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Aplastic and other anemias and other bone marrow failure syndromes (D60-D64),Other anemias
R00.2,Palpitations,49605,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of heart beat
A41.9,"Sepsis, unspecified organism (CMS code)",46751,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Other sepsis
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,46692,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
