concept,data_type,SFDPH_names,SFDPH_records,SFDPH_encounters,UCSF_names,UCSF_records,UCSF_encounters,total_records,total_encounters
Respirations,Vital Signs,RESPIRATIONS,6813738,342299,RESPIRATIONS,10151508,475079,16965246,817378
Pulse,Vital Signs,PULSE,6461377,345251,PULSE,9937716,342220,16399093,687471
Pulse Oximetry,Vital Signs,PULSE OXIMETRY; R PULSE OXIMETRY TYPE; R ZSFG PULSE FROM SPO2,12810764,663110,PULSE - PALPATED OR PLETH,2104229,454741,14914993,1117851
Blood Pressure,Vital Signs,BLOOD PRESSURE,5044850,346551,BLOOD PRESSURE,8511339,475364,13556189,821915
Temperature,Vital Signs,TEMPERATURE,4052641,343995,TEMPERATURE,6176076,471812,10228717,815807
MAP,Vital Signs,R MAP,4005736,198415,R MAP,6123295,202468,10129031,400883
Pain Score,Vital Signs,DPH R PAIN SCORE; PAIN SCORE (CATEGORY LIST),3613377,191868,PAIN SCORE (CATEGORY LIST); R IP PAIN SCORE,5021121,421114,8634498,612982
GCS - Score,Vital Signs,R DPH ED GCS ADULT SCORE; R DPH ED GCS NUMERIC SCORE; R ED CLINICAL CALCULATOR - GLASGOW COMA SCALE SCORE; ZSFG R ADULT OR PEDIATIRC GCS TRIGGER ROW?,4687020,728473,R CPN GLASGOW COMA SCALE SCORE; R CPN GLASGOW COMA SCALE SCORE V2,2024906,287115,6711926,1015588
GCS - Eye,Vital Signs,R DPH ED GCS ADULT BEST EYE RESPONSE,1722922,229496,R CPN ADULT GLASGOW COMA SCALE EYE OPENING,2029550,287765,3752472,517261
GCS - Verbal,Vital Signs,R DPH ED GCS ADULT BEST VERBAL RESPONSE,1720287,229433,R CPN ADULT GLASGOW COMA SCALE BEST VERBAL RESPONSE,2029062,287748,3749349,517181
GCS - Motor,Vital Signs,R DPH ED GCS ADULT BEST MOTOR RESPONSE,1717968,229312,R CPN GLASGOW COMA SCALE BEST MOTOR RESPONSE,2028181,287818,3746149,517130
Arterial Line BP,Vital Signs,R ARTERIAL LINE BLOOD PRESSURE; R ARTERIAL LINE BLOOD PRESSURE 2,1396727,8930,R ARTERIAL LINE BLOOD PRESSURE; R ARTERIAL LINE BLOOD PRESSURE 2,1355396,12799,2752123,21729
O2 Therapy,Respiratory,R OXYGEN THERAPY,2434765,281403,ED R O2 DEVICE,289013,245917,2723778,527320
RASS,Vital Signs,DPH CV RASS; ED RASS; R RICHMOND AGITATION SEDATION SCALE (RASS),1302638,55321,R RICHMOND AGITATION SEDATION SCALE,1385522,41255,2688160,96576
MAP (A-Line),Vital Signs,R MAP A-LINE; R MAP A-LINE 2,1401140,8965,R MAP A-LINE,1200705,10601,2601845,19566
FiO2,Respiratory,R FIO2,713600,9310,R FIO2 (%); R FIO2 2,1611988,24998,2325588,34308
Glucose,Laboratory,"Glucose WB; Glucose, Fingerstick; Glucose, Non Fasting",1243208,327964,"Glucose, non-fasting",1054590,281258,2297798,609222
eGFR,Laboratory,eGFR High Estimate; eGFR Low Estimate,526298,152592,eGFR - high estimate; eGFR - low estimate,1556980,428080,2083278,580672
Sodium,Laboratory,Sodium,633114,188123,"Sodium, Serum / Plasma",1189311,302736,1822425,490859
Potassium,Laboratory,Potassium,631458,188124,"Potassium, Serum / Plasma",1171885,302752,1803343,490876
Chloride,Laboratory,Chloride,621831,188123,"Chloride, Serum / Plasma",1157593,302682,1779424,490805
Anion Gap,Laboratory,Anion Gap (No K),621243,188094,Anion Gap,1154422,302446,1775665,490540
Creatinine,Laboratory,"Creatinine, Serum",626035,189191,Creatinine; Creatinine (POCT),1141637,303197,1767672,492388
BUN,Laboratory,BUN,622775,188120,"Urea Nitrogen, serum/plasma",1139386,302768,1762161,490888
Calcium,Laboratory,Calcium,622710,188124,"Calcium, total, Serum / Plasma",1104512,283346,1727222,471470
Hemoglobin,Laboratory,Hemoglobin,547018,188683,"Hemoglobin; Hemoglobin, Plasma, Alternative Method; POCT, Total Hemoglobin; Total Hemoglobin",1048745,304081,1595763,492764
Hematocrit,Laboratory,Hematocrit,551646,188678,Hematocrit,1042584,302845,1594230,491523
Platelet Count,Laboratory,Platelet Count,546066,188676,Platelet Count,1047159,302834,1593225,491510
RBC Count,Laboratory,RBC Count,546347,188680,RBC Count,1040460,302834,1586807,491514
WBC,Laboratory,WBC Count,545947,188676,WBC Count,1040741,302835,1586688,491511
MCV,Laboratory,MCV,546020,188680,MCV,1040413,302831,1586433,491511
MCHC,Laboratory,MCHC,545917,188675,MCHC,1040414,302831,1586331,491506
MCH,Laboratory,MCH,545917,188675,MCH,1040413,302831,1586330,491506
EtCO2,Respiratory,R AN ETCO2; R VENT ETCO2,958535,18264,R RT ETCO2; UCSF R ANE END TIDAL CO2,399412,15278,1357947,33542
CO2 (Bicarb),Laboratory,CO2,621858,188127,Bicarbonate,445398,151064,1067256,339191
Absolute Neutrophils,Laboratory,Absolute Neutrophils,431767,187799,Abs Neutrophils,611173,295056,1042940,482855
